ID,Business,Street Address,City,State,ZIP,Latitude,Longitude,Type of Installation,Georeference
436,Global Montello Group LLC,655 Port Washington Boulevard,Port Washington,NY,11050,40.825766,-73.682631,Transfer Switch Only,POINT (-73.682631 40.825766)
98,Melville Fuel Inc,728 Walt Whitman Rd,Melville,NY,11747,40.803817,-73.411002,Permanent Generator,POINT (-73.411002 40.803817)
330,Hess Corporation,800 Jericho Turnpike,Westbury,NY,11590,40.7715,-73.576113,Transfer Switch Only,POINT (-73.576113 40.7715)
666,"Cumberland Farms, Inc.",Exit 61 LIE NWC,Holbrook,NY,11741,40.816425,-73.086146,Transfer Switch Only,POINT (-73.086146 40.816425)
584,"Cumberland Farms, Inc.",4909 Sunrise Highway,Bohemia,NY,11716,40.75972,-73.102832,Transfer Switch Only,POINT (-73.102832 40.75972)
523,East End Marketing,1563 Main Rd,Jamesport,NY,11947,40.949234,-72.581553,Transfer Switch Only,POINT (-72.581553 40.949234)
831,"East River Petroleum Realty, LLC",69-08 Eliot Avenue,Queens,NY,11379,40.719445,-73.890726,Transfer Switch Only,POINT (-73.890726 40.719445)
890,175-33 Horace Harding Expwy Service Center Corp.,175-33 Horace Harding Expy,Queens,NY,11365,40.739588,-73.793256,Transfer Switch Only,POINT (-73.793256 40.739588)
462,"Sunoco, Inc. (R+M)",49-05 Astoria Boulevard,Queens,NY,11370,40.767863,-73.901014,Transfer Switch Only,POINT (-73.901014 40.767863)
494,Bill Wolf Petroleum Maintenance LLC,119 Bruckner Boulevard,Bronx,NY,10454,40.804661,-73.921681,Transfer Switch Only,POINT (-73.921681 40.804661)
758,AAMA Auto Service Inc,274 Hamilton Av,White Plains,NY,10601,41.03412,-73.7684,Transfer Switch Only,POINT (-73.7684 41.03412)
683,"Cumberland Farms, Inc.",118-11 Atlantic Avenue,Queens,NY,11418,40.694362,-73.828482,Transfer Switch Only,POINT (-73.828482 40.694362)
552,Davison Petroleum Corp.,160 Davison Av,Oceanside,NY,11572,40.6417166667,-73.6335833333,Transfer Switch Only,POINT (-73.6335833333 40.6417166667)
711,Melville Fuel Inc.,728 Walt Whitman Rd,Melville,NY,11747,40.803811,-73.410879,Transfer Switch Only,POINT (-73.410879 40.803811)
457,"Sunoco, Inc. (R+M)",993 Willis Avenue,Albertson,NY,11507,40.770999,-73.649113,Transfer Switch Only,POINT (-73.649113 40.770999)
843,Genesis Petroleum Inc,616 Broadway,Amityville,NY,11701,40.695335,-73.424558,Transfer Switch Only,POINT (-73.424558 40.695335)
325,West Bay Marketing LLC.,226 Islip Avenue,Islip,NY,11751,40.738452,-73.207898,Transfer Switch Only,POINT (-73.207898 40.738452)
975,Bolla EM Realty LLC,2525 Victory Boulevard,Staten Island,NY,10314,40.610401,-74.147352,Transfer Switch Only,POINT (-74.147352 40.610401)
286,NY Fuel Distributors LLC,414 McLean Av,Yonkers,NY,10705,40.91128,-73.885577,Transfer Switch Only,POINT (-73.885577 40.91128)
225,Hess Corporation,1885 Atlantic Avenue,Brooklyn,NY,11233,40.67726,-73.922118,Transfer Switch Only,POINT (-73.922118 40.67726)
520,East End Marketing,355 Bayshore Road,Deer Park,NY,11729,40.742961,-73.30899,Transfer Switch Only,POINT (-73.30899 40.742961)
743,23 Ludlam Fuel,23 Ludlam Av,Bayville,NY,11709,40.906055,-73.549097,Transfer Switch Only,POINT (-73.549097 40.906055)
579,"Cumberland Farms, Inc.",1610 Round Swamp Rd,Plainview,NY,11803,40.784608,-73.445394,Transfer Switch Only,POINT (-73.445394 40.784608)
698,Gaseteria Oil Corp,218-01 Northern Blvd,Queens,NY,11361,40.761468,-73.763672,Transfer Switch Only,POINT (-73.763672 40.761468)
875,V V N Inc.,274 N Broadway,Hicksville,NY,11801,40.777815,-73.530555,Transfer Switch Only,POINT (-73.530555 40.777815)
318,Hess Corporation,1801 North Ocean Avenue,Farmingville,NY,11738,40.824957,-73.020024,Transfer Switch Only,POINT (-73.020024 40.824957)
651,"Cumberland Farms, Inc.",225 Willis Avenue,Roslyn Heights,NY,11577,40.784214,-73.649491,Transfer Switch Only,POINT (-73.649491 40.784214)
949,White Plains Service Station Inc.,417 Mamaroneck Avenue,White Plains,NY,10605,41.023528,-73.761121,Transfer Switch and Generator,POINT (-73.761121 41.023528)
157,Merrick Bellmore Service Center Inc.,2801 Merrick Road,Bellmore,NY,11710,40.664611,-73.522247,Permanent Generator,POINT (-73.522247 40.664611)
616,"Cumberland Farms, Inc.",635 Main St,New Rochelle,NY,10801,40.906426,-73.785778,Transfer Switch Only,POINT (-73.785778 40.906426)
726,LUKOIL North America LLC,510 Scranton Av,Lynbrook,NY,11563,40.649113,-73.675814,Transfer Switch Only,POINT (-73.675814 40.649113)
981,Bolla Operating Corp.,375 Hamilton Avenue,Brooklyn,NY,11231,40.673168,-73.99882,Transfer Switch Only,POINT (-73.99882 40.673168)
404,Sunny Gas Stop Inc.,1310 5th Av,Bay Shore,NY,11706,40.734304,-73.262603,Transfer Switch Only,POINT (-73.262603 40.734304)
10,PMG Northeast LLC,892 Wantagh Ave,Wantagh,NY,11791,40.702024,-73.506006,Permanent Generator,POINT (-73.506006 40.702024)
189,Hess Corporation,104-09 Atlantic Avenue,Queens,NY,11418,40.690762,-73.840751,Transfer Switch Only,POINT (-73.840751 40.690762)
1007,South Columbus Realty LLC,767 South Columbus Avenue,Mount Vernon,NY,10550,40.894013,-73.824207,Transfer Switch Only,POINT (-73.824207 40.894013)
389,Tayco Enterprises Inc.,2243 Route 112,Medford,NY,11763,40.813592,-73.000701,Transfer Switch Only,POINT (-73.000701 40.813592)
54,Gaseteria Oil Corp,99-49 Horace Harding Expressway,Flushing,NY,11368,40.736676,-73.857219,Permanent Generator,POINT (-73.857219 40.736676)
357,BP Products North America Inc.,470 Grand Avenue,South Hempstead,NY,11550,40.683504,-73.615502,Transfer Switch Only,POINT (-73.615502 40.683504)
170,K Gas & Convenience LLC,1970 Deer Park Avenue,Deer Park,NY,11729,40.765207,-73.331173,Transfer Switch Only,POINT (-73.331173 40.765207)
594,"Cumberland Farms, Inc.",5106 Express Drive South,Holbrook,NY,11741,40.814274,-73.083565,Transfer Switch Only,POINT (-73.083565 40.814274)
142,4201 Webster Realty LLC,4201 Webster Ave,Bronx,NY,10470,40.895785,-73.863652,Permanent Generator,POINT (-73.863652 40.895785)
870,Lotus Management Group NY Inc,466 10th Avenue,New York,NY,10018,40.756005,-73.997716,Transfer Switch Only,POINT (-73.997716 40.756005)
611,"Cumberland Farms, Inc.",50 W Jericho Tpk,Huntington Station,NY,11746,40.828062,-73.411991,Transfer Switch Only,POINT (-73.411991 40.828062)
784,"East River Petroleum Realty, LLC",181-08 Hoarce Harding Exp,Queens,NY,11365,40.738714,-73.792436,Transfer Switch Only,POINT (-73.792436 40.738714)
421,Bolla Operating Corp.,231 Bay St,Staten Island,NY,10301,40.63637,-74.075594,Transfer Switch Only,POINT (-74.075594 40.63637)
500,Bill Wolf Petroleum Maintenance LLC,1845 Webster Av,Bronx,NY,10457,40.84676,-73.901878,Transfer Switch Only,POINT (-73.901878 40.84676)
990,CPD NY Energy Corp,2072 E Main St,Cortlandt Manor,NY,10567,41.301287,-73.883078,Transfer Switch Only,POINT (-73.883078 41.301287)
858,Hamilton Gas & Convenience Inc.,327 Hamilton Avenue,Brooklyn,NY,11231,40.67497,-74.000063,Transfer Switch Only,POINT (-74.000063 40.67497)
110,"Leon Petroleum, LLC",1470 Middle Country Road,Ridge,NY,11953,40.894628,-72.888821,Permanent Generator,POINT (-72.888821 40.894628)
329,Hess Corporation,2265 Broad Hollow Road,Farmingdale,NY,11735,40.753758,-73.421749,Transfer Switch Only,POINT (-73.421749 40.753758)
472,"Sunoco, Inc. (R+M)",6102 4th Av,Brooklyn,NY,11220,40.64026,-74.019426,Transfer Switch Only,POINT (-74.019426 40.64026)
257,"Hugh C. Hackett, Inc.",1128 Route 112,Port Jefferson Station,NY,11776,40.918979,-73.039734,Transfer Switch Only,POINT (-73.039734 40.918979)
885,Chand Springfield Corp.,2525 3rd Av,Bronx,NY,10451,40.810916,-73.927988,Transfer Switch Only,POINT (-73.927988 40.810916)
489,Bill Wolf Petroleum Maintenance LLC,1532 Bushwick Avenue,Brooklyn,NY,11207,40.68209,-73.905569,Transfer Switch Only,POINT (-73.905569 40.68209)
125,Bolla Operating Corp.,5808 Flatlands Avenue,Brooklyn,NY,11234,40.630842,-73.919809,Permanent Generator,POINT (-73.919809 40.630842)
226,Hess Corporation,500 Remsen Avenue,Brooklyn,NY,11236,40.653975,-73.921658,Transfer Switch Only,POINT (-73.921658 40.653975)
340,BP Products North America Inc.,381 North Av,New Rochelle,NY,10801,40.915502,-73.784772,Transfer Switch Only,POINT (-73.784772 40.915502)
934,Peekskill Food & Gas Inc.,800 N Division St,Peekskill,NY,10566,41.302563,-73.915713,Transfer Switch and Generator,POINT (-73.915713 41.302563)
